Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
1,48,2 (1),Apr 6,MIA,,DET,L3-7,GS-6,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,1.000,,,9,1.33,0.008,0.04,,,P
2,49,6 (3),Apr 12,MIA,@,NYM,W2-1,GS-6,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.500,.667,.500,1.167,9,.67,-0.007,-0.03,,,P
3,50,11 (4),Apr 18,MIA,,WSN,W6-1,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.250,.400,.250,.650,9,.57,0.008,0.03,,,P
4,51,16 (4),Apr 23,MIA,@,SFG,L2-7,GS-7,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.500,.571,.500,1.071,9,.63,0.053,0.51,,,P
5,52,21 (4),Apr 28,MIA,@,LAD,W5-3,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.375,.444,.375,.819,9,.97,-0.048,-0.37,,,P
Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
6,53,26 (4),May 4,MIA,,ARI,W4-3,GS-6,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.300,.364,.300,.664,9,.58,-0.030,-0.44,,,P
7,54,31 (4),May 9,MIA,,MIL,W4-1,GS-8,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.231,.286,.231,.516,9,1.12,-0.126,-2.09,,,P
8,55,37 (5),May 15,MIA,@,WSN,W5-1,GS-8,3,1,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,.286,.333,.286,.619,9,1.80,0.101,1.44,,,P
9,56,42 (4),May 21,MIA,,WSN,W3-2,GS-7,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.250,.294,.250,.544,9,.90,-0.059,-0.56,,,P
10,57,52 (9),May 31,MIA,,PIT,W3-1,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.250,.211,.461,9,1.17,-0.090,-0.66,,,P
